gene,mean_DFU,mean_Control,log2FC,t,df,P_value,adj_P_value,status_standard,status_relaxed,status_strict
SCGB1B2P,0.5355480548320959,3.592481134545788,-3.0569330797136924,-5.785602610039215,43.614835533211945,7.16140242662533e-07,7.4070855755679505e-06,Down,Down,Down
HYOU1,4.67967198982172,3.640267631097806,1.0394043587239135,5.784097441458512,43.614835533211945,7.197737859065967e-07,7.43261141025654e-06,Up,Up,ns
CRABP1,0.3527514958197949,1.73810547945057,-1.3853539836307749,-5.780157608890162,43.614835533211945,7.293718686796069e-07,7.513472892787582e-06,Down,Down,ns
KIFC1,2.212920216960705,0.9890238534810382,1.2238963634796667,5.778730032939871,43.614835533211945,7.328810471829428e-07,7.53744515703554e-06,Up,Up,ns
FGF22,0.25300806859141456,1.4705720111949503,-1.2175639426035358,-5.770520852460266,43.614835533211945,7.533891142053051e-07,7.704868783849443e-06,Down,Down,ns
CES4A,1.390563811472482,2.979708291031077,-1.589144479558595,-5.7702653999616995,43.614835533211945,7.54036367789368e-07,7.705309133347604e-06,Down,Down,Down
FAM83F,1.564010981511223,2.657090336258779,-1.0930793547475561,-5.76972001257538,43.614835533211945,7.554200978088232e-07,7.713268620781364e-06,Down,Down,ns
HJURP,1.987460653832198,0.7077208006502448,1.2797398531819533,5.768691196030148,43.614835533211945,7.58037247416965e-07,7.733799213046844e-06,Up,Up,ns
CXCL8,5.421339492120189,1.7752384873347538,3.646101004785435,5.764790956388297,43.614835533211945,7.680410993859965e-07,7.81710146885045e-06,Up,Up,Up
MIA,0.507700639262342,2.0847474203035787,-1.5770467810412367,-5.763050649117448,43.614835533211945,7.72547178229388e-07,7.840452633339463e-06,Down,Down,Down
HOTAIR,0.7337658924720344,1.774982162771637,-1.0412162702996026,-5.760165160637582,43.614835533211945,7.800764831866758e-07,7.908040850619775e-06,Down,Down,ns
