NM_001167676	FAM229A
NM_001143888	BSDC1
NM_178547	ZBTB8OS
NM_003680	YARS1
NM_001171941	FNDC5
NM_033504	TMEM54
NM_153341	RNF19B
NM_018207	TRIM62
NM_198040	PHC2
NM_052896	CSMD2
NR_030278	MIR552
NR_037869	GPR199P
NM_005066	SFPQ
NM_024874	KIAA0319L
NM_014408	TRAPPC3
NM_032017	STK40
NM_145047	OSCP1
NM_031280	MRPS15
NM_156039	CSF3R
NR_038842	LITATS1
NM_022756	MEAF6
NM_024700	SNIP1
NM_013285	GNL2
NM_001038633	RSPO1
NM_001099439	EPHA10
NM_024640	YRDC
NM_005955	MTF1
NM_004468	FHL3
NM_002699	POU3F1
NM_022157	RRAGC
NR_003929	PPIEL
NM_014571	HEYL
NM_016257	HPCAL4
NM_001720	BMP8B
NM_022120	OXCT2
NM_017646	TRIT1
NM_000310	PPT1
NM_014747	RIMS3
NR_024567	NFYC-AS1
NM_001168247	SLFNL1
NM_001031694	SCMH1
NM_001956	EDN2
NM_024503	HIVEP3
NM_033553	GUCA2A
NM_001198851	FOXJ3
NM_001123395	CLDN19
NM_001243246	P3H1
NM_199342	SVBP
NM_001159936	EBNA1BP2
NM_182517	C1orf210
NM_001256399	ELOVL1
NM_052877	MED8
NR_033827	KDM4A-AS1
NM_024066	ERI3
NM_024587	TMEM53
NM_153274	BEST4
NM_001013632	DYNLT4
NM_003738	PTCH2
NM_024602	HECTD3
NM_001048171	MUTYH
NM_007170	TESK2
NM_002574	PRDX1
NM_001114938	CCDC17
NM_021639	GPBP1L1
NR_026768	RPS15AP10
NM_005897	IPP
NM_006369	LRRC41
NM_001097611	KNCN
NR_024176	MKNK1
NM_145279	MOB3C
NM_001256418	ATPAF1
NM_014774	EFCAB14
NM_005764	PDZK1IP1
NM_003189	TAL1
NM_001048166	STIL
NR_026878	FOXD2-AS1
NM_019073	SPATA6
NM_032785	AGBL4
NM_024603	BEND5
NM_032110	DMRTA2
NM_007051	FAF1
NM_001144832	TTC39A
NM_001981	EPS15
NM_002525	NRDC
NM_015913	TXNDC12
NM_032449	CC2D1B
NM_023077	COA7
NM_001198961	ECHDC2
NM_001199082	PODN
NM_147193	GLIS1
NM_018087	NDC1
NM_001010978	LDLRAD1
NM_004872	TMEM59
NM_201546	CDCP2
NM_001031672	CYB5RL
NM_145716	SSBP3
NM_017904	TTC22
NM_014762	DHCR24
NM_015306	USP24
NM_003713	PLPP3
NM_001004303	FYB2
NM_021080	DAB1
NM_145243	OMA1
NM_002353	TACSTD2
NM_002228	JUN
NR_027120	HSD52
NR_039861	MIR4711
NM_152377	C1orf87
NM_032027	TM2D1
NM_181712	KANK4
NM_033407	DOCK7
NR_045147	ITGB3BP
NM_002227	JAK1
NR_037443	MIR3671
NR_029516	MIR101-1
NM_005478	INSL5
NM_024763	DNAI4
NM_001018067	SERBP1
NM_024911	WLS
NR_031664	MIR1262
NM_000329	RPE65
NM_017768	LRRC40
NM_030816	ANKRD13C
NR_028294	PTGER3
NM_173808	NEGR1
NR_046218	NEGR1-IT1
NM_001105659	LRRIQ3
NM_001002912	ERICH3
NM_080868	ASB17
NM_015017	USP33
NM_003902	FUBP1
NR_027379	LINC01555
NM_012152	LPAR3
NM_153259	MCOLN2
NM_018298	MCOLN3
NR_024113	C1orf52
NM_003921	BCL10
NM_001134445	DDAH1
NM_020729	ODF2L
NM_004261	SELENOF
NR_038324	LINC01364
NM_001514	GTF2B
NM_018284	GBP3
NM_052941	GBP4
NM_052942	GBP5
NR_002830	GEMIN8P4
NM_020063	BARHL2
NM_201269	ZNF644
