gene,GSM2114231,GSM2114232,GSM2114233,GSM2114234,GSM2114235,GSM2114236,GSM2114237,GSM2114238,GSM2114239,GSM2114240,GSM2114241,GSM2114242
MIR4441,5.570977500000001,8.006158333333333,5.3203,5.6966325,5.5493966666666665,5.9850866666666676,6.634533333333334,6.381465833333333,6.004575833333334,5.634069166666667,5.8521350000000005,6.2158266666666675
ZNF621,6.628362499999999,6.159868333333335,5.900730833333333,6.680173333333333,6.707989999999998,6.573738333333332,7.581992500000001,7.7951325,7.8105975,7.705054166666667,7.756385833333333,7.798005000000001
IKZF2,5.277436666666666,5.981684166666667,7.289274166666668,5.891780833333335,5.476519166666667,5.665931666666666,7.034508333333335,5.4031858333333345,6.272053333333333,7.311338333333333,5.916169166666666,6.382592500000001
LPP,6.661632499999999,5.795320833333334,6.8349675,6.850179166666666,7.626761666666667,7.833112500000001,8.054041666666667,7.864840833333333,8.046248333333333,7.674175833333333,7.8958275,7.943067499999999
FGF7P3,5.529485,7.325898333333334,5.40266,5.9908525,5.281448333333333,5.235554166666667,5.155930833333334,6.497695833333334,6.687539999999999,5.995215833333333,6.794336666666667,5.588030000000001
SNX1,7.5800133333333335,5.475429166666667,7.388851666666667,7.799486666666666,7.290612500000001,7.578541666666666,7.970909166666668,8.018639166666667,7.837495833333334,8.138020833333334,7.96011,8.007109999999999
MIR4520-1,3.4892341666666664,2.8661925000000004,3.5715349999999995,4.004179166666667,3.2450983333333334,3.1388091666666664,4.9973475,4.458779166666665,4.115680833333333,5.158892499999999,4.247359166666667,4.101
CFAP298,7.1418800000000005,4.614973333333333,6.7043125,7.443220833333332,6.480442500000001,6.502082500000001,6.95449,6.999655000000001,6.831714166666667,7.0224325,6.973674166666666,7.044197499999999
LEP,5.246143333333333,6.0973983333333335,7.682880000000001,5.892089166666666,5.783438333333333,5.911110833333333,5.111334166666666,5.1815516666666666,5.459053333333333,5.493530833333334,5.356249166666667,5.047061666666667
SMAD2,9.665399166666667,7.191767499999998,9.439055,9.669196666666666,9.38406,9.328644166666665,9.376308333333332,9.718615000000002,9.711471666666666,9.539595,9.829586666666666,9.862995833333333
TFCP2,7.904582499999999,5.493611666666667,7.243630833333332,7.988594999999999,7.452312499999999,7.598570833333333,7.771461666666667,8.10517,7.8295,8.074403333333333,8.058980833333335,7.798263333333335
BNC2,5.984895833333333,6.512488333333334,5.924128333333333,5.91814,5.591236666666667,5.547515833333333,7.282870833333334,6.735765833333333,7.179165,7.4039583333333345,7.229026666666666,7.218633333333333
MIR4266,4.032445833333334,3.0858683333333334,5.247094166666666,5.006974166666667,4.828435833333334,4.629625,3.1544858333333337,4.198874166666667,4.299411666666667,3.7361375,3.5101541666666667,3.6154274999999996
RAD51C,6.176593333333333,4.721364166666667,5.337270833333334,6.271416666666666,5.789960000000001,5.425323333333334,6.467244999999999,6.2439575000000005,6.5880775,6.906780833333333,6.6953425,7.196231666666667
FZD1,8.470666666666666,6.924710000000001,7.856563333333334,8.441256666666668,7.587026666666667,7.033689166666668,8.518405,8.246861666666668,8.978864166666666,8.748655833333334,8.606113333333335,9.122540000000003
CABLES1,5.8752825,4.273838333333334,5.807655833333333,5.997146666666667,5.45496,5.110868333333333,4.699044999999999,4.3824475,4.800163333333333,3.8537133333333338,4.307776666666666,4.508399166666666
ADAMTSL5,6.8847175,6.6911625,7.669330000000001,7.728821666666665,7.838675833333333,7.651134166666668,6.432997499999999,6.21024,6.012387499999999,6.2724908333333325,6.050692499999999,6.301244166666668
MIR181A2,4.775676666666667,5.568572499999999,3.38832,4.667288333333333,4.448638333333334,5.428448333333332,5.018459166666665,5.9832375,4.319219166666667,5.802901666666666,4.821423333333334,4.8537575
KRTAP5-7,9.891900000000001,10.897275,9.4257875,8.689165000000003,8.99376,9.111353333333335,8.5902175,8.616643333333334,8.713449166666665,8.626974166666667,8.678539166666667,8.420415
LINC00664,3.7578633333333333,4.323661666666667,5.1155375,4.5589916666666666,3.8294425000000003,6.431622499999999,4.023876666666667,4.279030833333334,4.298441666666666,4.135585833333333,4.392849166666666,4.649308333333333
YAE1,8.500613333333334,7.576384166666666,7.5152775,9.018394166666665,8.0241275,8.572585833333333,8.902826666666666,9.350858333333333,9.219480833333334,9.507974166666667,9.313250833333333,9.479395
RABGAP1L,6.5923799999999995,5.738410833333333,5.818920833333333,6.494434166666667,6.099740000000001,6.550369166666666,7.458313333333333,7.5344283333333335,7.184940833333333,7.588438333333333,7.45816,7.631750833333334
ANKRD63,8.216016666666667,8.751476666666663,8.531478333333334,7.9183075,8.135418333333334,8.035655,6.857118333333335,7.1769575,6.868794166666667,6.9975024999999995,7.185580833333333,6.778735
MIR4744,3.53712,3.915511666666666,4.024355,4.000941666666666,4.39786,4.781979166666667,5.8825225,4.950899166666667,4.856121666666667,5.115289166666666,4.7863125,5.680320833333333
ZNF559,4.757978333333334,6.469395000000001,5.009806666666667,5.571339166666667,4.836453333333333,5.3795125,6.3690074999999995,6.448298333333334,6.357475,6.458218333333331,6.4000200000000005,6.5315075
UTS2R,7.8958275,8.443580833333334,8.00001,7.401723333333334,7.443898333333332,7.802650833333334,6.270410833333333,6.773622499999999,6.478560000000001,6.569240833333333,6.756804166666668,6.634004999999999
RRAGA,8.73568,6.114645833333333,8.4090575,8.693628333333333,7.770994999999999,8.298595833333332,7.654342499999999,7.594268333333333,7.270244166666667,7.54145,7.567119166666667,7.652013333333333
SS18L2,8.83666,8.277714166666668,7.9489825,8.746909166666667,9.2718625,8.789499166666667,8.042914166666668,7.555100833333333,7.401723333333334,7.3245741666666655,7.1329875,7.435153333333333
CAMK1D,8.946423333333334,7.862092499999999,7.8557475,9.288399166666666,7.872690833333333,8.7272975,9.716979166666667,9.620826666666666,9.480069166666667,9.390935833333334,9.189375833333333,9.529999166666666
MIR339,8.799516666666667,9.92214416666667,9.0324075,8.1325725,8.509319166666666,8.438649999999999,7.580158333333333,7.8738866666666665,7.913831666666666,7.822738333333334,7.677194166666665,7.494254166666667
RIPPLY2,6.951241666666665,7.9404016666666655,6.703643333333333,5.9693975,6.273553333333335,6.372955000000001,5.571880833333334,6.1178175,5.542535833333333,5.703191666666666,5.771675833333333,5.560044166666667
EHF,10.545074999999999,11.764983333333333,12.194033333333335,11.097341666666667,12.693233333333332,11.897141666666665,11.294174999999997,10.753091666666664,10.897275,10.9654,10.648358333333332,10.464583333333335
IGF2-AS,7.263525000000001,7.6482775,7.882973333333333,7.029121666666666,6.998644166666666,7.412210833333333,6.171541666666667,6.100855833333334,5.9925125,6.015766666666665,6.123012499999999,6.103296666666666
OPA1,8.049363333333334,6.0004574999999996,8.121580833333335,8.355595,8.554169166666666,8.020505833333333,8.241913333333335,8.540105000000002,8.502235,8.505150833333333,8.584835833333333,8.546824166666669
ANKRD11,7.306937499999999,5.377518333333332,7.649953333333333,7.498983333333334,7.5856825,7.525854166666666,8.001643333333332,7.915453333333335,7.766967500000001,7.900941666666665,7.940288333333335,7.94522
REEP1,4.935238333333334,5.916675000000001,5.874631666666667,6.523152499999999,7.354513333333332,6.802101666666666,5.3829883333333335,5.553264166666665,5.201993333333333,5.628005000000001,5.674813333333333,5.270933333333335
MIR890,2.9318450000000005,3.8278375,3.055459166666667,3.693046666666667,5.075441666666666,2.90123,3.0498174999999996,2.5512916666666667,2.851438333333333,2.955291666666667,2.910094166666667,2.4503966666666663
APOOL,8.185034166666666,6.244150833333333,8.256762499999999,8.476829166666667,8.1097,8.449661666666666,8.679756666666664,8.794350833333333,8.7546325,8.843745833333331,8.6243475,8.862550833333332
RIMKLA,6.4236,6.0626275000000005,8.01631,6.435911666666667,6.5593408333333345,5.7083275,5.569344166666666,5.7249300000000005,6.080710833333334,5.267014166666667,5.83622,5.693311666666666
VPS37B,7.369553333333333,7.375111666666666,8.216409166666667,7.531225833333334,8.447290833333334,8.155591666666666,6.788147500000001,6.5759108333333325,6.626204166666667,6.666400833333333,6.644125833333334,6.513858333333334
COLGALT1,9.297026666666666,6.396465833333333,8.432984166666666,9.131031666666667,8.6851,8.757784166666665,8.47717,8.41244,8.518066666666668,8.235969166666665,8.449234166666669,8.384980833333334
FCF1,8.554169166666666,5.984469166666666,7.910572500000001,8.817175833333335,7.520874166666665,8.0243925,7.9000683333333335,8.426608333333334,8.109085833333333,8.1985175,8.245268333333334,8.132299166666668
KIF21A,6.9119625000000005,5.139168333333334,6.8279266666666665,7.331285833333333,6.7498925000000005,7.8297275,6.992629999999999,7.461628333333331,7.493400833333333,7.718651666666667,7.302335,7.556763333333332
CXCR1,7.660771666666668,8.077018333333333,7.0276016666666665,7.986086666666666,7.77424,7.959671666666668,6.6478383333333335,6.8679466666666675,6.532843333333335,6.482852499999999,6.147833333333334,6.406685833333333
SH3BGRL2,8.437539166666667,7.304901666666667,7.128025,7.567330833333334,7.259741666666668,7.2781725,8.611232499999998,9.024540833333333,8.687517500000002,8.679468333333332,8.753173333333333,8.199936666666668
TMEM184A,8.509457500000002,9.0354825,9.531113333333334,8.32195,8.739715,8.808605,7.808040833333332,7.5981975,7.3036691666666655,7.466952499999999,7.820706666666666,7.614566666666666
MALT1,9.083013333333332,6.846845833333333,9.569468333333333,9.149650833333332,8.9673225,9.042219166666667,8.231259999999999,8.50609,8.273374166666668,8.013486666666667,8.335103333333334,8.275068333333333
TMEM278,9.125737500000001,9.825961666666668,9.336016666666668,8.766695,9.2785925,8.826599166666668,8.007833333333332,8.042914166666668,7.8432441666666675,7.885576666666666,7.989958333333334,7.812249999999999
MAP3K6,8.590028333333331,6.156724166666667,7.982593333333334,8.817439166666666,8.079120833333333,8.799990000000001,8.656525833333333,8.280415,8.6243475,8.367323333333335,8.422643333333333,8.165439999999998
TET1,6.295423333333333,5.748500833333334,5.5691041666666665,6.279443333333334,5.977098333333333,5.467327500000001,6.999055833333333,7.029295833333332,7.052455833333334,7.414858333333332,7.380142499999998,7.0242016666666665
HEATR5B,8.711609166666666,7.1271458333333335,8.125319166666669,8.368449166666668,8.539924166666667,8.502235,9.077673333333335,9.521958333333336,9.125479166666667,9.530467499999999,9.422320000000001,9.392138333333333
DESI2,8.097168333333334,5.6067825000000004,8.177912499999998,8.070375833333333,8.236285,7.910956666666667,8.083675833333334,7.633139166666667,8.029598333333334,7.993900000000001,7.783708333333333,8.046248333333333
EXOC8,7.980887500000001,5.5771075,8.1099775,8.090158333333333,8.190474166666666,8.134510833333332,7.965622500000002,7.873475,7.9930674999999995,7.816659166666665,7.732818333333334,8.083313333333335
POU4F2,5.8813425,5.427301666666668,7.517416666666667,6.578006666666668,6.078201666666666,6.5394325,5.305649166666667,5.471715,5.407701666666667,5.292271666666667,5.254166666666667,5.345011666666667
MIR3132,5.953251666666667,8.3370775,6.955998333333334,6.505091666666668,6.979489999999998,6.450205833333334,5.9170025,5.845608333333334,6.106490000000001,6.092694166666667,6.488737499999999,5.878025833333333
GLDC,6.8153725,7.217972499999999,6.883210000000001,6.5162375,5.925022500000001,6.2598899999999995,5.474258333333334,5.619105,5.2676058333333335,5.2393325,5.424616666666666,5.343097499999999
LOC100129034,6.955998333333334,5.7844291666666665,6.836193333333333,7.075126666666666,6.725225833333333,6.489298333333334,7.740285833333332,7.553248333333333,7.913945833333333,7.940773333333333,7.971146666666667,7.961484999999999
GSTM2,6.088729166666666,7.889151666666667,5.745026666666667,6.2165349999999995,5.969693333333332,6.015523333333334,6.858781666666668,7.450854166666667,7.019398333333332,7.466799166666665,7.269429166666668,6.921725000000002
DCAF1,7.8646575,6.096371666666667,7.382215833333333,7.704906666666666,7.587839166666666,7.727783333333332,8.360732500000001,8.552249999999999,8.355104166666665,8.527283333333333,8.391983333333334,8.535261666666667
DMRTA1,7.040846666666666,5.583885833333333,7.490615833333332,7.577704166666667,7.134548333333334,6.968469166666668,6.15834,7.269123333333334,6.873147500000001,5.957914166666666,6.783289166666666,5.541906666666667
MSANTD3-TMEFF1,6.256612499999999,5.679306666666665,7.859166666666667,7.056274166666667,7.640693333333332,7.315150833333334,6.088565833333334,6.200620833333333,5.9197075,6.277817500000001,6.174336666666666,6.3750475
TRIT1,7.579222499999999,6.234610000000001,6.706837499999999,7.5778766666666675,7.296553333333333,6.566604999999999,7.800518333333333,8.476270833333334,7.867003333333334,8.221361666666665,8.249644166666668,7.903209999999999
FBXO5,6.9741591666666665,4.669459166666669,6.2627375,7.404685000000001,6.240024166666667,6.621540833333334,6.664564166666666,6.81628,6.538330833333334,7.1908675,6.981750000000001,7.105964166666666
CAB39L,5.212536666666667,4.8025225,5.647357500000001,6.113233333333333,6.134265000000002,5.737295,5.794551666666667,6.777233333333334,6.3702125,6.802880833333333,6.750419999999999,7.198650000000001
