gene,mean_DFU,mean_Control,log2FC,t,df,P_value,adj_P_value,var_pooled,var_post,status_relaxed,status_standard,status_strict
LHFPL2,3.880079487075313,2.853730935530328,1.0263485515449848,4.784343357493017,43.614835533211945,1.9911348851264776e-05,0.00011621484297491061,0.5067609527988137,0.47882543725429794,Up,Up,ns
GATA2,2.1606191371327665,3.014189941660465,-0.8535708045276986,-4.783192268948036,43.614835533211945,1.9986205128885715e-05,0.0001165807758057926,0.3459485447001913,0.33134130151689123,Down,ns,ns
ZNF615,1.158534809207176,1.6896540540120226,-0.5311192448048465,-4.7830983062687835,43.614835533211945,1.9992327819906563e-05,0.0001165807758057926,0.12454886396457425,0.128291419036399,ns,ns,ns
SPINDOC,2.820985984571419,2.0355419168089366,0.7854440677624823,4.782249760870033,43.614835533211945,2.0047703488179636e-05,0.00011685025712283131,0.2906995629080247,0.2806714034267375,Up,ns,ns
SLITRK6,0.3925155745817673,0.999023834099923,-0.6065082595181557,-4.781918183455763,43.614835533211945,2.0069383080523195e-05,0.00011692318064226236,0.16716896481419177,0.16737912882924053,Down,ns,ns
KCNAB1,0.879419451082387,1.6818546820965723,-0.8024352310141853,-4.780976719968165,43.614835533211945,2.013106485998506e-05,0.00011722898180794039,0.3042535846689124,0.2931020560660823,Down,ns,ns
IFT140,1.8323612377623797,2.3276628972641644,-0.49530165950178473,-4.780745785346425,43.614835533211945,2.0146223465244972e-05,0.00011726370965416209,0.10643765982261637,0.11168128725849377,ns,ns,ns
UNK,3.0959067170273813,3.522380747364201,-0.4264740303368195,-4.775527711050357,43.614835533211945,2.049175040341744e-05,0.00011922048033521106,0.07514285297872902,0.08298022124616693,ns,ns,ns
NOMO1,4.866900729817786,4.256469824795855,0.6104309050219312,4.77431924517709,43.614835533211945,2.0572600035739796e-05,0.0001196362828343774,0.17012630600007567,0.17009136300344205,Up,ns,ns
TMEM165,5.607761400352802,4.852260420064449,0.7555009802883523,4.772790098139386,43.614835533211945,2.067535428507128e-05,0.00012017903062785507,0.26893413238456587,0.2607099107306251,Up,ns,ns
